Provider #,Site Name,State,Type (group),Type,City,County,Rural Status,Site Subcategory,# of Beds,.Hospital Locations,Latitude,Longitude
210003,UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER,MD,All Others,Short-Term Hospital,Upper Marlboro,Prince George's County,No,Short Term,224,Point,38.90246176,-76.84435163
390058,UPMC CARLISLE,PA,All Others,Short-Term Hospital,Carlisle,Cumberland County,No,Short Term,165,Point,40.18475711,-77.22471276
390068,UPMC LITITZ,PA,All Others,Short-Term Hospital,Lititz,Lancaster County,No,Short Term,206,Point,40.13114307,-76.31086881
390039,UPMC SOMERSET,PA,All Others,Short-Term Hospital,Somerset,Somerset County,Yes,Short Term,111,Point,40.00704199,-79.07855253
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,NY,All Others,Short-Term Hospital,Brooklyn,Kings County,No,Short Term,411,Point,40.70035241,-73.94160326
490111,WYTHE COUNTY COMMUNITY HOSPITAL,VA,All Others,Short-Term Hospital,Wytheville,Wythe County,Yes,Short Term,100,Point,36.95306539,-81.09652053
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,All Others,Short-Term Hospital,Far Rockaway,Queens County,No,Short Term,257,Point,40.59865901,-73.75300381
390304,ROXBOROUGH MEMORIAL HOSPITAL,PA,All Others,Short-Term Hospital,Philadelphia,Philadelphia County,No,Short Term,137,Point,40.02878392,-75.21036199
392031,SELECT SPECIALTY HOSPITAL - JOHNSTOWN,PA,All Others,Long-Term Hospital,Johnstown,Cambria County,No,Long Term,39,Point,40.32639372,-78.92084753
362024,SELECT SPECIALTY HOSPITAL - YOUNGSTOWN,OH,All Others,Long-Term Hospital,Youngstown,Mahoning County,No,Long Term,31,Point,41.11449902,-80.6558154
312019,SELECT SPECIALTY HOSPITAL NORTHEAST,NJ,All Others,Long-Term Hospital,Rochelle Park,Bergen County,No,Long Term,62,Point,40.89870722,-74.07581907
362023,SELECT SPECIALTY HOSPITAL-BOARDMAN,OH,All Others,Long-Term Hospital,Boardman,Mahoning County,No,Long Term,45,Point,41.00513283,-80.63394182
312022,SELECT SPECIALTY HOSPITAL-WILLINGBORO,NJ,All Others,Long-Term Hospital,Willingboro,Burlington County,No,Long Term,69,Point,40.046498,-74.88068998
362026,SELECT SPECIALTY HOSPITAL- CLEVELAND FAIRHILL,OH,All Others,Long-Term Hospital,Cleveland,Cuyahoga County,No,Long Term,119,Point,41.49307245,-81.60015206
392025,PAM SPECIALTY HOSPITAL OF WILKES-BARRE,PA,All Others,Long-Term Hospital,Wilkes Barre,Luzerne County,No,Long Term,36,Point,41.25805659,-75.86822888
492009,VIBRA HOSPITAL OF RICHMOND,VA,All Others,Long-Term Hospital,Richmond,Henrico County,No,Long Term,60,Point,37.5906419,-77.49002673
491991,LYNN HOUSE OF POTOMAC VALLEY,VA,All Others,Religious Non-Medical Health Care Institution,Alexandria,Alexandria City,No,Religious Nonmedical Health Care Institutions,16,Point,38.82890582,-77.10571278
074015,ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,CT,All Others,Psychiatric Hospital,Middletown,Middlesex County,No,Psychiatric,50,Point,41.55641098,-72.61583403
334045,ELMIRA PSYCH CENTER,NY,All Others,Psychiatric Hospital,Elmira,Chemung County,No,Psychiatric,95,Point,42.09188574,-76.79570938
360150,SUMMA WESTERN RESERVE HOSPITAL,OH,All Others,Short-Term Hospital,Cuyahoga Falls,Summit County,No,Short Term,258,Point,41.13243784,-81.5101289
220116,TUFTS MEDICAL CENTER,MA,All Others,Short-Term Hospital,Boston,Suffolk County,No,Short Term,415,Point,42.34966046,-71.06351621
360123,UH ST JOHN MEDICAL CENTER,OH,All Others,Short-Term Hospital,Westlake,Cuyahoga County,No,Short Term,240,Point,41.43566199,-81.94399599
330394,"UNITED HEALTH SERVICES HOSPITALS, INC",NY,All Others,Short-Term Hospital,Binghamton,Broome County,No,Short Term,500,Point,42.08651916,-75.91446463
390066,WELLSPAN GOOD SAMARITAN HOSPITAL,PA,All Others,Short-Term Hospital,Lebanon,Lebanon County,No,Short Term,196,Point,40.33625922,-76.4173551
362004,DRAKE CENTER INC,OH,All Others,Long-Term Hospital,Cincinnati,Hamilton County,No,Long Term,108,Point,39.21350911,-84.47998731
222048,WHITTIER REHABILITATION HOSPITAL,MA,All Others,Long-Term Hospital,Westborough,Worcester County,No,Long Term,88,Point,42.27647119,-71.56786622
314005,ANCORA PSYCH HOSP,NJ,All Others,Psychiatric Hospital,Hammonton,Atlantic County,Yes,Psychiatric,709,Point,39.63447,-74.80602499
224021,ARBOUR-FULLER HOSPITAL,MA,All Others,Psychiatric Hospital,South Attleboro,Bristol County,No,Psychiatric,86,Point,41.92386515,-71.36057328
364059,ASSURANCE HEALTH HUDSON LLC,OH,All Others,Psychiatric Hospital,Hudson,Summit County,No,Psychiatric,23,Point,41.23635383,-81.48699191
364060,GENERATIONS BEHAVIORAL HEALTH-YOUNGSTOWN LLC,OH,All Others,Psychiatric Hospital,Youngstown,Trumbull County,No,Psychiatric,76,Point,41.13703775,-80.66316801
364065,GLENWOOD BEHAVIORAL HEALTH HOSPITAL,OH,All Others,Psychiatric Hospital,Cincinnati,Hamilton County,No,Psychiatric,80,Point,39.204846,-84.57107898
314016,GREYSTONE PARK PSYCH HOSP,NJ,All Others,Psychiatric Hospital,Greystone Park,Morris County,No,Psychiatric,468,Point,40.839276,-74.51260298
220019,UMASS MEMORIAL HEALH - HARRINGTON HOSPITAL,MA,All Others,Short-Term Hospital,Southbridge,Worcester County,No,Short Term,113,Point,42.07854651,-72.04202578
510006,"UNITED HOSPITAL CENTER, INC",WV,All Others,Short-Term Hospital,Bridgeport,Harrison County,Yes,Short Term,375,Point,39.32886744,-80.238261
210027,U P M C WESTERN MARYLAND,MD,All Others,Short-Term Hospital,Cumberland,Allegany County,No,Short Term,240,Point,39.65565593,-78.73168758
360075,UH REGIONAL HOSPITALS,OH,All Others,Short-Term Hospital,Chardon,Geauga County,No,Short Term,213,Point,41.50877201,-81.18956401
390041,UNIONTOWN HOSPITAL,PA,All Others,Short-Term Hospital,Uniontown,Fayette County,No,Short Term,190,Point,39.90231124,-79.73796012
490084,VCU HEALTH TAPPAHANNOCK HOSPITAL,VA,All Others,Short-Term Hospital,Tappahannock,Essex County,Yes,Short Term,67,Point,37.90061423,-76.87829297
310061,VIRTUA WILLINGBORO HOSPITAL,NJ,All Others,Short-Term Hospital,Willingboro,Burlington County,No,Short Term,221,Point,40.04855791,-74.8822985
390225,WELLSPAN EPHRATA COMMUNITY HOSPITAL,PA,All Others,Short-Term Hospital,Ephrata,Lancaster County,No,Short Term,130,Point,40.18671638,-76.18418355
492010,CENTRA SPECIALTY HOSPITAL,VA,All Others,Long-Term Hospital,Lynchburg,Lynchburg City,No,Long Term,36,Point,37.43918254,-79.18797048
212003,DEER'S HEAD CENTER,MD,All Others,Long-Term Hospital,Salisbury,Wicomico County,No,Long Term,66,Point,38.38335324,-75.59334626
222007,HEBREW REHABILITATION CENTER,MA,All Others,Long-Term Hospital,Boston,Suffolk County,No,Long Term,675,Point,42.2966984,-71.13073505
224018,ARBOUR HUMAN RESOURCE INSTITUTE,MA,All Others,Psychiatric Hospital,Brookline,Norfolk County,No,Psychiatric,68,Point,42.35078016,-71.12116568
364056,ASSURANCE HEALTH CINCINNATI LLC,OH,All Others,Psychiatric Hospital,Blue Ash,Hamilton County,No,Psychiatric,28,Point,39.28151929,-84.36795043
394058,BERWICK FREE-STANDING PSYCHIATRIC HOSPITAL,PA,All Others,Psychiatric Hospital,Berwick,Columbia County,No,Psychiatric,14,Point,41.07014073,-76.23099363
224022,BOURNEWOOD HOSPITAL,MA,All Others,Psychiatric Hospital,Boston College,Norfolk County,No,Psychiatric,90,Point,42.29859321,-71.14928897
334049,FOUR WINDS OF SARATOGA,NY,All Others,Psychiatric Hospital,Saratoga Springs,Saratoga County,No,Psychiatric,83,Point,43.05825847,-73.78341688
364054,GENERATIONS BEHAVIORAL HEALTH - GENEVA,OH,All Others,Psychiatric Hospital,Geneva,Ashtabula County,Yes,Psychiatric,16,Point,41.79909901,-80.96330753
394053,HAVEN BEHAVIORAL HOSPITAL OF PHILADELPHIA,PA,All Others,Psychiatric Hospital,Philadelphia,Philadelphia County,No,Psychiatric,36,Point,40.01107552,-75.1860616
490050,VIRGINIA HOSPITAL CENTER,VA,All Others,Short-Term Hospital,Arlington,Arlington County,No,Short Term,342,Point,38.88878894,-77.12853402
510023,"WEIRTON MEDICAL CENTER, INC",WV,All Others,Short-Term Hospital,Weirton,Brooke County,No,Short Term,238,Point,40.39411321,-80.52934824
390046,WELLSPAN YORK HOSPITAL,PA,All Others,Short-Term Hospital,York,York County,No,Short Term,572,Point,39.94538366,-76.71974978
222046,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,MA,All Others,Long-Term Hospital,Rochdale,Worcester County,No,Long Term,174,Point,42.2018632,-71.89880504
364036,ARROWHEAD BEHAVIORAL HEALTH,OH,All Others,Psychiatric Hospital,Maumee,Lucas County,No,Psychiatric,42,Point,41.59030794,-83.68855125
314020,ESSEX COUNTY HOSPITAL CENTER,NJ,All Others,Psychiatric Hospital,Cedar Grove,Essex County,No,Psychiatric,180,Point,40.85120785,-74.23367554
364063,GEORGETOWN BEHAVIORAL HOSPITAL,OH,All Others,Psychiatric Hospital,Georgetown,Brown County,Yes,Psychiatric,49,Point,38.85870449,-83.89794611
314012,HACKENSACK MERIDIAN HEALTH CARRIER CLINIC,NJ,All Others,Psychiatric Hospital,Belle Mead,Somerset County,No,Psychiatric,281,Point,40.46818899,-74.68363202
364031,HEARTLAND BEHAVIORAL HEALTHCARE,OH,All Others,Psychiatric Hospital,Massillon,Stark County,No,Psychiatric,212,Point,40.82521314,-81.52485624
394020,PHILHAVEN HOSPITAL,PA,All Others,Psychiatric Hospital,Mount Gretna,Lebanon County,No,Psychiatric,103,Point,40.26689768,-76.46086703
314019,RAMAPO RIDGE BEHAVIORAL HEALTH HOSPITAL,NJ,All Others,Psychiatric Hospital,Wyckoff,Bergen County,No,Psychiatric,58,Point,40.98135098,-74.17224297
390027,TEMPLE UNIVERSITY HOSPITAL,PA,All Others,Short-Term Hospital,Philadelphia,Philadelphia County,No,Short Term,677,Point,40.0056337,-75.15198847
360003,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",OH,All Others,Short-Term Hospital,Cincinnati,Hamilton County,No,Short Term,771,Point,39.13677346,-84.50236096
